Moneda,Fecha,Market_Cap
bitcoin,2020-01-13,147446058196.45944
bitcoin,2020-01-14,159481192213.82108
bitcoin,2020-01-15,159960761751.8495
bitcoin,2020-01-16,158412991117.64667
bitcoin,2020-01-17,161848747742.1508
bitcoin,2020-01-18,161823609428.34625
bitcoin,2020-01-19,157906057309.30655
bitcoin,2020-01-20,156848009983.54858
bitcoin,2020-01-21,158564958350.98007
bitcoin,2020-01-22,157502652064.02246
bitcoin,2020-01-23,152984928858.5764
bitcoin,2020-01-24,153294353936.51035
bitcoin,2020-01-25,151794495723.25214
bitcoin,2020-01-26,156302144661.30927
bitcoin,2020-01-27,161473602737.4275
bitcoin,2020-01-28,169518428144.8912
bitcoin,2020-01-29,168738228801.50467
bitcoin,2020-01-30,172993102966.37723
bitcoin,2020-01-31,169340144566.23718
bitcoin,2020-02-01,170361167834.16483
bitcoin,2020-02-02,169926610304.08496
bitcoin,2020-02-03,169406963182.6937
bitcoin,2020-02-04,167075369075.11478
bitcoin,2020-02-05,174596806174.2994
bitcoin,2020-02-06,177388314197.5645
bitcoin,2020-02-07,178414902529.15167
bitcoin,2020-02-08,180081607384.42255
bitcoin,2020-02-09,184792100015.16357
bitcoin,2020-02-10,180145850760.05313
bitcoin,2020-02-11,186262984851.99295
bitcoin,2020-02-12,188132988212.86746
bitcoin,2020-02-13,186190344916.03287
bitcoin,2020-02-14,187680301470.73926
bitcoin,2020-02-15,180265718400.57037
bitcoin,2020-02-16,181221481668.7407
bitcoin,2020-02-17,176547652266.39673
bitcoin,2020-02-18,184918071499.10074
bitcoin,2020-02-19,175312937106.92148
bitcoin,2020-02-20,174871048291.16623
bitcoin,2020-02-21,176701844101.55685
bitcoin,2020-02-22,176097270350.4831
bitcoin,2020-02-23,181368043820.09412
bitcoin,2020-02-24,175872097740.40662
bitcoin,2020-02-25,170478976467.6238
bitcoin,2020-02-26,160731785487.8149
bitcoin,2020-02-27,160149975301.41962
bitcoin,2020-02-28,159030381910.26715
bitcoin,2020-02-29,156047250857.11172
bitcoin,2020-03-01,155934421965.2728
bitcoin,2020-03-02,162521881368.8758
bitcoin,2020-03-03,159816567727.14258
bitcoin,2020-03-04,159869936941.09732
bitcoin,2020-03-05,165070261612.788
bitcoin,2020-03-06,166791067805.42844
